time_s,voltage_V,current_A,temperature_C
2.1200,-0.405455,0.244931,24.6711
2.1400,-0.319583,0.248177,24.6886
2.1600,-0.216769,0.251449,24.7087
2.1800,-0.088202,0.254535,24.7315
2.2000,0.061511,0.257236,24.7570
2.2200,0.216125,0.259367,24.7852
2.2400,0.355637,0.260773,24.8162
2.2600,0.466148,0.261334,24.8499
2.2800,0.546566,0.260972,24.8863
2.3000,0.608634,0.259652,24.9251
2.3200,0.670286,0.257386,24.9663
2.3400,0.745801,0.254233,25.0098
2.3600,0.837921,0.250292,25.0553
2.3800,0.936044,0.245703,25.1027
2.4000,1.021453,0.240636,25.1517
2.4200,1.076848,0.235287,25.2021
2.4400,1.095182,0.229861,25.2537
2.4600,1.083202,0.224571,25.3060
2.4800,1.057830,0.219622,25.3590
2.5000,1.037277,0.215204,25.4122
2.5200,1.031545,0.211479,25.4655
2.5400,1.037278,0.208578,25.5184
2.5600,1.039656,0.206592,25.5707
2.5800,1.020338,0.205569,25.6221
2.6000,0.967296,0.205509,25.6723
2.6200,0.881400,0.206367,25.7210
2.6400,0.776293,0.208053,25.7681
2.6600,0.671628,0.210439,25.8131
2.6800,0.583203,0.213361,25.8560
2.7000,0.515131,0.216632,25.8964
2.7200,0.458160,0.220047,25.9342
2.7400,0.395000,0.223394,25.9693
2.7600,0.309867,0.226466,26.0015
2.7800,0.197261,0.229066,26.0306
2.8000,0.065354,0.231025,26.0566
2.8200,-0.067756,0.232201,26.0795
2.8400,-0.183002,0.232491,26.0992
2.8600,-0.269814,0.231837,26.1158
2.8800,-0.331157,0.230224,26.1292
2.9000,-0.381514,0.227684,26.1395
2.9200,-0.438861,0.224295,26.1468
2.9400,-0.514852,0.220175,26.1513
2.9600,-0.608335,0.215478,26.1531
2.9800,-0.705609,0.210387,26.1523
3.0000,-0.787279,0.205101,26.1493
3.0200,-0.838135,0.199833,26.1440
3.0400,-0.854880,0.194791,26.1369
3.0600,-0.847679,0.190176,26.1282
3.0800,-0.834707,0.186166,26.1182
3.1000,-0.832558,0.182910,26.1070
3.1200,-0.847527,0.180524,26.0951
3.1400,-0.872327,0.179079,26.0827
3.1600,-0.889956,0.178602,26.0701
3.1800,-0.882691,0.179073,26.0576
3.2000,-0.841505,0.180427,26.0456
3.2200,-0.770972,0.182557,26.0342
3.2400,-0.687104,0.185318,26.0239
3.2600,-0.609234,0.188535,26.0148
3.2800,-0.550203,0.192012,26.0072
3.3000,-0.509966,0.195539,26.0014
3.3200,-0.475968,0.198905,25.9976
3.3400,-0.430087,0.201907,25.9960
3.3600,-0.358502,0.204359,25.9967
3.3800,-0.259330,0.206102,26.0000
3.4000,-0.144029,0.207012,26.0059
3.4200,-0.031823,0.207004,26.0145
3.4400,0.059929,0.206039,26.0259
3.4600,0.124391,0.204123,26.0402
3.4800,0.168417,0.201308,26.0574
3.5000,0.208564,0.197692,26.0774
3.5200,0.262044,0.193408,26.1002
3.5400,0.337355,0.188623,26.1257
3.5600,0.429494,0.183530,26.1538
3.5800,0.522251,0.178335,26.1843
3.6000,0.596401,0.173249,26.2172
3.6200,0.639498,0.168479,26.2522
3.6400,0.652160,0.164217,26.2891
3.6600,0.647555,0.160630,26.3277
3.6800,0.644356,0.157852,26.3678
3.7000,0.656861,0.155979,26.4090
3.7200,0.687429,0.155065,26.4511
3.7400,0.725214,0.155115,26.4938
3.7600,0.751828,0.156090,26.5369
3.7800,0.751000,0.157905,26.5800
3.8000,0.717159,0.160436,26.6228
3.8200,0.658455,0.163525,26.6651
3.8400,0.592642,0.166984,26.7065
3.8600,0.537965,0.170611,26.7467
3.8800,0.503822,0.174195,26.7856
3.9000,0.486085,0.177526,26.8227
3.9200,0.469515,0.180408,26.8579
3.9400,0.436012,0.182667,26.8910
3.9600,0.374386,0.184156,26.9217
3.9800,0.286522,0.184770,26.9499
4.0000,0.186723,0.184442,26.9753
4.0200,0.094564,0.183153,26.9979
4.0400,0.024995,0.180931,27.0176
4.0600,-0.019135,0.177847,27.0342
4.0800,-0.048229,0.174015,27.0477
4.1000,-0.080158,0.169586,27.0582
4.1200,-0.130593,0.164737,27.0655
4.1400,-0.204486,0.159669,27.0698
4.1600,-0.293178,0.154592,27.0712
4.1800,-0.378649,0.149716,27.0696
4.2000,-0.442671,0.145242,27.0653
4.2200,-0.476109,0.141352,27.0583
4.2400,-0.483475,0.138200,27.0490
4.2600,-0.480383,0.135905,27.0374
4.2800,-0.485215,0.134544,27.0238
4.3000,-0.509377,0.134149,27.0085
4.3200,-0.551225,0.134706,26.9916
4.3400,-0.596858,0.136155,26.9735
4.3600,-0.627346,0.138395,26.9544
4.3800,-0.628623,0.141283,26.9347
4.4000,-0.598864,0.144650,26.9147
4.4200,-0.549494,0.148299,26.8945
4.4400,-0.499294,0.152023,26.8746
4.4600,-0.464681,0.155610,26.8553
4.4800,-0.451265,0.158856,26.8367
4.5000,-0.451070,0.161573,26.8193
4.5200,-0.446891,0.163597,26.8032
4.5400,-0.421502,0.164799,26.7888
4.5600,-0.366884,0.165092,26.7762
4.5800,-0.288663,0.164428,26.7657
4.6000,-0.203419,0.162809,26.7575
4.6200,-0.130279,0.160283,26.7518
4.6400,-0.081179,0.156939,26.7487
4.6600,-0.054902,0.152910,26.7482
4.6800,-0.037993,0.148358,26.7506
4.7000,-0.012071,0.143472,26.7559
4.7200,0.036278,0.138458,26.7641
4.7400,0.108217,0.133528,26.7752
4.7600,0.191793,0.128889,26.7892
4.7800,0.267937,0.124734,26.8060
4.8000,0.320204,0.121235,26.8256
4.8200,0.343160,0.118531,26.8479
4.8400,0.345017,0.116722,26.8726
4.8600,0.343163,0.115866,26.8997
4.8800,0.354899,0.115976,26.9289
4.9000,0.388260,0.117017,26.9600
4.9200,0.437690,0.118910,26.9929
4.9400,0.486866,0.121535,27.0272
4.9600,0.517166,0.124737,27.0626
4.9800,0.517370,0.128332,27.0990
5.0000,0.489520,0.132120,27.1360
5.0200,0.447857,0.135889,27.1734
5.0400,0.411413,0.139429,27.2108
5.0600,0.394112,0.142542,27.2479
5.0800,0.397573,0.145050,27.2844
5.1000,0.410368,0.146804,27.3201
5.1200,0.414124,0.147692,27.3546
5.1400,0.393280,0.147643,27.3878
5.1600,0.343387,0.146633,27.4192
5.1800,0.273614,0.144682,27.4488
5.2000,0.202145,0.141859,27.4761
5.2200,0.146866,0.138271,27.5012
5.2400,0.116227,0.134064,27.5237
5.2600,0.105038,0.129416,27.5435
5.2800,0.097406,0.124523,27.5605
5.3000,0.075279,0.119594,27.5746
5.3200,0.028110,0.114840,27.5857
5.3400,-0.041402,0.110465,27.5938
5.3600,-0.118500,0.106653,27.5988
5.3800,-0.183881,0.103562,27.6007
5.4000,-0.223586,0.101314,27.5997
5.4200,-0.236106,0.099993,27.5957
5.4400,-0.232993,0.099635,27.5889
5.4600,-0.232649,0.100234,27.5795
5.4800,-0.250551,0.101733,27.5675
5.5000,-0.291018,0.104036,27.5531
5.5200,-0.344839,0.107007,27.5366
5.5400,-0.393989,0.110476,27.5181
5.5600,-0.420985,0.114252,27.4980
5.5800,-0.417967,0.118127,27.4765
5.6000,-0.390778,0.121890,27.4538
5.6200,-0.355885,0.125335,27.4302
5.6400,-0.331776,0.128271,27.4061
5.6600,-0.329311,0.130532,27.3817
5.6800,-0.346083,0.131984,27.3573
5.7000,-0.367745,0.132534,27.3333
5.7200,-0.375592,0.132130,27.3098
5.7400,-0.356444,0.130768,27.2873
5.7600,-0.309655,0.128490,27.2660
5.7800,-0.247576,0.125381,27.2461
5.8000,-0.189240,0.121567,27.2279
5.8200,-0.150559,0.117209,27.2117
5.8400,-0.136159,0.112494,27.1976
5.8600,-0.137137,0.107624,27.1859
5.8800,-0.135890,0.102812,27.1767
5.9000,-0.115506,0.098266,27.1702
5.9200,-0.068791,0.094182,27.1664
5.9400,-0.002218,0.090734,27.1655
5.9600,0.067279,0.088065,27.1675
5.9800,0.120980,0.086282,27.1725
6.0000,0.148000,0.085446,27.1804
6.0200,0.150812,0.085576,27.1912
6.0400,0.143797,0.086643,27.2049
6.0600,0.145568,0.088574,27.2214
6.0800,0.169100,0.091252,27.2405
6.1000,0.214815,0.094526,27.2621
6.1200,0.270248,0.098217,27.2861
6.1400,0.316469,0.102124,27.3122
6.1600,0.337903,0.106038,27.3402
6.1800,0.330408,0.109746,27.3699
6.2000,0.303389,0.113050,27.4011
6.2200,0.274849,0.115769,27.4334
6.2400,0.261949,0.117748,27.4666
6.2600,0.272036,0.118873,27.5004
6.2800,0.298812,0.119066,27.5346
6.3000,0.325662,0.118298,27.5687
6.3200,0.334391,0.116584,27.6026
6.3400,0.314804,0.113986,27.6358
6.3600,0.270115,0.110608,27.6682
6.3800,0.215355,0.106591,27.6994
6.4000,0.169610,0.102110,27.7292
6.4200,0.146153,0.097359,27.7573
6.4400,0.145622,0.092546,27.7835
6.4600,0.155814,0.087883,27.8075
6.4800,0.158208,0.083575,27.8292
6.5000,0.137796,0.079808,27.8483
6.5200,0.091075,0.076744,27.8648
6.5400,0.028029,0.074510,27.8784
6.5600,-0.032940,0.073194,27.8892
6.5800,-0.074494,0.072840,27.8969
6.6000,-0.089279,0.073445,27.9017
6.6200,-0.083630,0.074959,27.9034
6.6400,-0.074118,0.077290,27.9021
6.6600,-0.078755,0.080306,27.8978
6.6800,-0.107443,0.083842,27.8907
6.7000,-0.156686,0.087708,27.8807
6.7200,-0.211309,0.091698,27.8682
6.7400,-0.252304,0.095601,27.8531
6.7600,-0.266688,0.099209,27.8358
6.7800,-0.254223,0.102329,27.8163
6.8000,-0.227484,0.104793,27.7950
6.8200,-0.205236,0.106461,27.7721
6.8400,-0.202587,0.107235,27.7479
6.8600,-0.223070,0.107059,27.7225
6.8800,-0.256787,0.105922,27.6964
6.9000,-0.285601,0.103861,27.6697
6.9200,-0.292639,0.100956,27.6429
6.9400,-0.271160,0.097329,27.6161
6.9600,-0.228122,0.093137,27.5898
6.9800,-0.180606,0.088563,27.5641
7.0000,-0.146950,0.083809,27.5395
7.0200,-0.137237,0.079087,27.5160
7.0400,-0.148110,0.074606,27.4941
7.0600,-0.164626,0.070565,27.4740
7.0800,-0.168176,0.067139,27.4559
7.1000,-0.146326,0.064477,27.4400
7.1200,-0.099440,0.062688,27.4265
7.1400,-0.040604,0.061843,27.4155
7.1600,0.011098,0.061963,27.4072
7.1800,0.040443,0.063025,27.4018
7.2000,0.043915,0.064961,27.3992
7.2200,0.031419,0.067660,27.3996
7.2400,0.020988,0.070975,27.4030
7.2600,0.029237,0.074729,27.4093
7.2800,0.062561,0.078723,27.4186
7.3000,0.113694,0.082749,27.4307
7.3200,0.165408,0.086594,27.4456
7.3400,0.199442,0.090058,27.4632
7.3600,0.205972,0.092955,27.4832
7.3800,0.188681,0.095130,27.5056
7.4000,0.162772,0.096461,27.5301
7.4200,0.146967,0.096868,27.5565
7.4400,0.153675,0.096313,27.5845
7.4600,0.182474,0.094809,27.6140
7.4800,0.220311,0.092409,27.6446
7.5000,0.248329,0.089215,27.6761
7.5200,0.251731,0.085364,27.7081
7.5400,0.227538,0.081025,27.7405
7.5600,0.186171,0.076391,27.7728
7.5800,0.146039,0.071670,27.8047
7.6000,0.123952,0.067073,27.8361
7.6200,0.126389,0.062807,27.8665
7.6400,0.146164,0.059060,27.8958
7.6600,0.166263,0.055998,27.9236
7.6800,0.168816,0.053753,27.9497
7.7000,0.144529,0.052417,27.9738
7.7200,0.097632,0.052040,27.9958
7.7400,0.043762,0.052623,28.0154
7.7600,0.001876,0.054124,28.0324
7.7800,-0.015568,0.056455,28.0468
7.8000,-0.009026,0.059488,28.0583
7.8200,0.008466,0.063061,28.0669
7.8400,0.018211,0.066988,28.0726
7.8600,0.005721,0.071065,28.0752
7.8800,-0.031607,0.075079,28.0749
7.9000,-0.083044,0.078822,28.0715
7.9200,-0.130055,0.082099,28.0652
7.9400,-0.155917,0.084737,28.0561
7.9600,-0.154393,0.086594,28.0442
7.9800,-0.132928,0.087567,28.0297
